红薯,2.8,3.0,2.9,2022-03-30 00:00:00
紫薯,3.0,3.5,3.25,2022-03-30 00:00:00
茭白,4.8,5.0,4.9,2022-03-30 00:00:00
荸荠,2.5,3.0,2.75,2022-03-30 00:00:00
芋头,2.0,2.6,2.3,2022-03-30 00:00:00
姜,1.0,3.0,2.0,2022-03-30 00:00:00
大蒜,2.5,3.5,3.0,2022-03-30 00:00:00
大蒜,3.0,3.5,3.25,2022-03-30 00:00:00
蒜米,2.0,3.0,2.5,2022-03-30 00:00:00
大葱,4.0,4.2,4.1,2022-03-30 00:00:00
小葱,2.5,3.0,2.75,2022-03-30 00:00:00
蒜苗,7.5,8.0,7.75,2022-03-30 00:00:00
蒜黄,3.5,4.5,4.0,2022-03-30 00:00:00
青蒜,1.6,2.0,1.8,2022-03-30 00:00:00
平菇,5.0,6.0,5.5,2022-03-30 00:00:00
香菇,3.5,5.5,4.5,2022-03-30 00:00:00
白玉菇,3.0,4.0,3.5,2022-03-30 00:00:00
口蘑,7.0,8.0,7.5,2022-03-30 00:00:00
杏鲍菇,2.5,3.0,2.75,2022-03-30 00:00:00
金针菇,2.5,3.0,2.75,2022-03-30 00:00:00
海带,1.5,1.7,1.6,2022-03-30 00:00:00
油菜,2.0,2.5,2.25,2022-03-30 00:00:00
小白菜,2.5,3.0,2.75,2022-03-30 00:00:00
油麦菜,2.5,3.0,2.75,2022-03-30 00:00:00
奶白菜,2.5,3.0,2.75,2022-03-30 00:00:00
散生菜,2.5,3.0,2.75,2022-03-30 00:00:00
香葱,2.5,3.0,2.75,2022-03-30 00:00:00
茼蒿,4.5,5.0,4.75,2022-03-30 00:00:00
蒿子秆,2.5,3.0,2.75,2022-03-30 00:00:00
水萝卜,3.5,4.0,3.75,2022-03-30 00:00:00
樱桃萝卜,2.5,3.0,2.75,2022-03-30 00:00:00
香芹,3.0,4.0,3.5,2022-03-30 00:00:00
菠菜,2.5,3.5,3.0,2022-03-30 00:00:00
苋菜,7.0,8.0,7.5,2022-03-30 00:00:00
菊花菜,2.5,3.0,2.75,2022-03-30 00:00:00
青蒜,3.0,4.0,3.5,2022-03-30 00:00:00
盖菜,2.0,2.5,2.25,2022-03-30 00:00:00
芥兰,3.0,3.5,3.25,2022-03-30 00:00:00
菜心,4.0,4.5,4.25,2022-03-30 00:00:00
空心菜,6.0,9.0,7.5,2022-03-30 00:00:00
鸡毛菜,2.5,3.0,2.75,2022-03-30 00:00:00
荠菜,8.0,9.0,8.5,2022-03-30 00:00:00
荆芥,7.0,8.0,7.5,2022-03-30 00:00:00
紫苏叶,7.0,7.5,7.25,2022-03-30 00:00:00
豌豆苗,4.5,5.0,4.75,2022-03-30 00:00:00
快菜,2.0,2.5,2.25,2022-03-30 00:00:00
苦菊,5.0,6.0,5.5,2022-03-30 00:00:00
穿心莲,2.5,3.0,2.75,2022-03-30 00:00:00
木耳菜,8.0,9.0,8.5,2022-03-30 00:00:00
椰青,6.0,7.0,6.5,2022-03-30 00:00:00
菠萝,1.8,2.3,2.05,2022-03-30 00:00:00
香水菠萝,2.6,2.8,2.7,2022-03-30 00:00:00
圣女果,5.8,8.5,7.15,2022-03-30 00:00:00
百香果,12.0,13.0,12.5,2022-03-30 00:00:00
桑葚,6.0,8.0,7.0,2022-03-30 00:00:00
黑枣,6.0,12.0,9.0,2022-03-30 00:00:00
白草莓,9.0,25.0,17.0,2022-03-30 00:00:00
九九草莓,10.0,16.0,13.0,2022-03-30 00:00:00
甜宝草莓,6.0,11.0,8.5,2022-03-30 00:00:00
红颜草莓,5.0,10.0,7.5,2022-03-30 00:00:00
火龙果,5.2,8.0,6.6,2022-03-30 00:00:00
火龙果,4.0,5.5,4.75,2022-03-30 00:00:00
板栗,2.6,3.5,3.05,2022-03-30 00:00:00
油栗,6.0,10.0,8.0,2022-03-30 00:00:00
木瓜,4.0,4.5,4.25,2022-03-30 00:00:00
柿饼,6.0,12.0,9.0,2022-03-30 00:00:00
甘蔗,1.6,1.8,1.7,2022-03-30 00:00:00
柠檬,4.5,5.0,4.75,2022-03-30 00:00:00
山楂,4.0,6.0,5.0,2022-03-30 00:00:00
姑娘果（灯笼果）,10.0,25.0,17.5,2022-03-30 00:00:00
鸭梨,2.2,2.6,2.4,2022-03-30 00:00:00
雪花梨,2.0,2.2,2.1,2022-03-30 00:00:00
皇冠梨,3.0,3.5,3.25,2022-03-30 00:00:00
南果梨,1.0,4.0,2.5,2022-03-30 00:00:00
丰水梨,4.0,4.4,4.2,2022-03-30 00:00:00
酥梨,2.2,2.5,2.35,2022-03-30 00:00:00
库尔勒香梨,3.0,4.5,3.75,2022-03-30 00:00:00
红香酥梨,2.5,2.8,2.65,2022-03-30 00:00:00
红啤梨,5.0,5.5,5.25,2022-03-30 00:00:00
京白梨,1.6,2.0,1.8,2022-03-30 00:00:00
砂糖橘,1.8,3.6,2.7,2022-03-30 00:00:00
耙耙柑,3.2,5.8,4.5,2022-03-30 00:00:00
鄂、湘、川脐橙,2.1,3.8,2.95,2022-03-30 00:00:00
血橙/二月红/中华红,1.5,3.5,2.5,2022-03-30 00:00:00
沃柑,3.0,5.2,4.1,2022-03-30 00:00:00
黄果柑,1.2,1.8,1.5,2022-03-30 00:00:00
冰糖橙,1.3,3.5,2.4,2022-03-30 00:00:00
芦柑,1.2,2.7,1.95,2022-03-30 00:00:00
金桔,2.5,6.6,4.55,2022-03-30 00:00:00
蜜柚,3.5,4.5,4.0,2022-03-30 00:00:00
蜜柚,2.2,3.0,2.6,2022-03-30 00:00:00
葡萄柚,3.0,4.0,3.5,2022-03-30 00:00:00
油桃,7.0,11.0,9.0,2022-03-30 00:00:00
黄油桃,10.0,12.0,11.0,2022-03-30 00:00:00
春雪,11.0,17.0,14.0,2022-03-30 00:00:00
猕猴桃,3.3,4.0,3.65,2022-03-30 00:00:00
猕猴桃,2.2,3.0,2.6,2022-03-30 00:00:00
无籽小号-大号,3.6,3.8,3.7,2022-03-30 00:00:00
麒麟、甜蜜蜜,4.5,5.7,5.1,2022-03-30 00:00:00
黑美人,3.8,4.0,3.9,2022-03-30 00:00:00
甜王,3.3,3.5,3.4,2022-03-30 00:00:00
特小凤,3.6,4.5,4.05,2022-03-30 00:00:00
国产香蕉,3.6,4.0,3.8,2022-03-30 00:00:00
南美、菲律宾香蕉,3.8,4.3,4.05,2022-03-30 00:00:00
泰国香蕉,7.5,8.4,7.95,2022-03-30 00:00:00
晓蜜25号,4.5,6.0,5.25,2022-03-30 00:00:00
黄金瓜,5.0,5.8,5.4,2022-03-30 00:00:00
玉菇,4.8,5.5,5.15,2022-03-30 00:00:00
长香玉,5.2,5.5,5.35,2022-03-30 00:00:00
羊角蜜,8.5,9.5,9.0,2022-03-30 00:00:00
东方蜜一号,4.0,5.5,4.75,2022-03-30 00:00:00
花蕾甜瓜,8.0,8.5,8.25,2022-03-30 00:00:00
绿宝甜瓜,7.5,8.0,7.75,2022-03-30 00:00:00
东北甜瓜,8.0,9.0,8.5,2022-03-30 00:00:00
博阳,7.0,8.5,7.75,2022-03-30 00:00:00
富士,2.0,3.0,2.5,2022-03-30 00:00:00
富士,3.3,4.5,3.9,2022-03-30 00:00:00
富士,2.0,3.0,2.5,2022-03-30 00:00:00
黄元帅,2.5,3.3,2.9,2022-03-30 00:00:00
花牛,2.6,5.0,3.8,2022-03-30 00:00:00
阿克苏,4.5,5.5,5.0,2022-03-30 00:00:00
